id,name,pos,team,set-id,set-userid,set-name,ssn-gms,ssn-ssn,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-2pt,rec-1d,rec-rec,rec-tgt,rec-td,rec-yds,fum-lost,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,idp-2pr,idp-ast,idp-blk,idp-fmr,idp-fmf,idp-int,idp-pd,idp-sck,idp-saf,idp-tac,idp-tfl,idp-td,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,pr-td,pr-yds,kr-td,kr-yds
BryaCo96,Coby Bryant,s,CHI,67054,-1,Consensus,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.17,0,0.13,0.93,1.43,4.23,0.13,0,39.6,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BullCa99,Calen Bullock,s,HOU,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.47,0.53,2.93,9.37,0.3,0,41.37,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaviAs99,Ashtyn Davis,s,SF,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0.43,0.13,1.13,3.2,0.37,0,25.77,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighAl98,Alex Highsmith,de,PIT,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0.37,1.93,0.1,2.4,9.27,0,37.83,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrowTr99,Tre Brown,cb,NYJ,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0.07,0.07,0.33,2.67,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoniNi99,Nik Bonitto,de,DEN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,0,1,2.03,0.37,2.3,11.43,0,32.07,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FloyLe99,Leonard Floyd,de,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0.33,0.43,0,0.83,1.33,0,7,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KincKa99,Kamren Kinchens,s,LAR,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0.63,0.57,2.43,6.77,0.27,0,46.93,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortJo96,Joey Porter Jr.,cb,PIT,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0.37,0.4,1.4,12.67,0.17,0,38.2,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlayDa99,Darius Slay,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.03,0.1,0.93,3.5,0,0,14.67,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
